autor,titulo,año,carrera
"Estrada Loyola, Cecilia,",Actividades complementarias para el aprendizaje de las embedded wh-clauses de los estudiantes de la licenciatura en enseñanza de inglés de la Facultad de Estudios Superiores Acatlán,2022,Enseñanza de Inglés
"Razo Sánchez, Edgar,",Relación lineal entre la motivación académica y el desempeño escolar de la generación 2016 durante la etapa terminal de la Licenciatura en Enseñanza de Inglés en la Facultad de Estudios Supe'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-45175?func=full-set-set&set_number=378466&set_entry=000002&format=999>2</A>,2021,Enseñanza de Inglés
"Román Mancillas, Ingrid Estephani,",Propuesta didáctica bilingüe para el aprendizaje de unidades fraseológicas somáticas en alumnos de nivel PG7 del Centro de Enseñanza de Idiomas de la Facultad de Estuidos Superiores Acatlán,2021,Enseñanza de Inglés
"Córdoba Ramírez, Andrea Noemí,",Uso de textos literarios breves para promover el desarrollo de habilidades de lectura en los alumnos de primer semestre de la licenciatura en enseñanza de inglés :una propuesta didáctica,2020,Enseñanza de Inglés
"Cervantes Cervantes, Dulce Ivonne,",Propuesta de actividades complementarias para la práctica de comprensión auditiva a partir de material auténtico para alumnos de PG1 de la FES Acatlán,2017,Enseñanza de Inglés
"Gómez Álvarez, Rebeca Hitandehui,",El uso del videoclip musical para el desarrollo de la competencia estratégica en el aprendizaje del inglés como lengua extranjera,2017,Enseñanza de Inglés
"González López, Ángel de Jesús,",Variables socioculturales y afectivas que dificultan la adquisición del inglés en inmersión :cuatro estudios de caso,2017,Enseñanza de Inglés
"Lansman, Jon William Christer Vic,",Propuesta de actividades para integrar la evaluación formativa en el curso de inglés nivel cuatro del plan global del centro de idiomas de la FES Acatlán,2017,Enseñanza de Inglés
"Saldaña Pacheco, Israel,","Delimitación de directrices para el fortalecimiento de la práctica docente, a partir de un marco general de observación de clase derivado del Programa Nacional de Inglés en Educación Básica ('; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-45196?func=full-set-set&set_number=378466&set_entry=000009&format=999>9</A>",2017,Enseñanza de Inglés
"Zamora Miranda, Carlos Donizetti,",Los procesos metacognitivos y el desarrollo de estrategias de aprendizaje del alumno de la LEI,2017,Enseñanza de Inglés
"Bernal Montero, David Santiago,",El viaje como género etnográfico :Colombia vista desde el explorador Joseph de Brettes en la Sierra Nevada de Santa Marta (1892-1896),2022,Estudios Latinoamericanos
"Caballero Hinojosa, Sandra Karen,","Trabajo de ángel, musa y seductora :retratos fotográficos a mujeres en América Latina, selección del archivo Casasola (1917-1930)",2022,Estudios Latinoamericanos
"Castillo Jiménez, Felipe,",Ensayos desde el exilio :Reinaldo Arenas en la revista Mariel contra la tradición literaria cubana,2022,Estudios Latinoamericanos
"Castro Guadarrama, Omar,",Silvestre Paradox :la heterogénea modernización de América Latina en las crónicas tempranas desde México del escritor guatemalteco Arqueles Vela,2022,Estudios Latinoamericanos
"Garduño Guerrero, Carlos Fernando,",Los hermanos de la Costa :¿un ensayo anarquista?,2022,Estudios Latinoamericanos
"Martínez Ríos, Carolina,","La idea de la nación en el juntista, Fray Melchor de Talamantes",2022,Estudios Latinoamericanos
"Martínez Tinoco, Flor Amelia,",Hacia una metodología ILCE experiencia y contribución profesional en la dirección pedagógica (2018),2022,Estudios Latinoamericanos
"Mejía Cuéllar, Diana Karina,","La conquista visual del desierto :fotografías de la campaña del estado argentino contra indigenas, 1879-1910",2022,Estudios Latinoamericanos
"Nicolás Pablo, Griselda,","Argentina, gol y desilusión :los usos políticos del fútbol : la dictadura militar de Argentina y el Mundial de 1978",2022,Estudios Latinoamericanos
"Barroso Alamilla, Juan Antonio,",La invasión a Granada como paradigma de la política de EEUU hacia el Caribe en la década de los ochenta y la postura canadiense,2021,Estudios Latinoamericanos
"Zarate Nava, Vladimir,",Otras formas de construir autonomía :mujeres agricultoras y sus aportaciones a la autonomía de Cherán KÂ´eri,2020,Estudios Sociales y Gestión Local
"Cleto Díaz, Rosa Isela,",De las prácticas escolares a la vida comunitaria de Cherán KÂ´eri :el papel de la escuela y el docente indígena desde el marco de la autonomía comunitaria,2019,Estudios Sociales y Gestión Local
"Espinosa Rodríguez, Citlali,",Organización social en procesos socioeconómicos alternativos sustentables :el caso de la Red Tsiri,2019,Estudios Sociales y Gestión Local
"Sánchez Hernández, Carolina,",La construcción del cuerpo femenino en la solista de salsa :una mirada etnográfica al concurso Oaxaca salsa y bachata fest,2022,Etnomusicología
"González Pío, Nadia Belem,",Cuando el espíritu santo se manifiesta en ti :'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-45994?func=full-set-set&set_number=378477&set_entry=000002&format=999>2</A>,2020,Etnomusicología
"Navarro Vuskovic, Rodrigo Raúl,",Subjetividades diferenciales de migrantes chilenos residentes en Ciudad de México :etnografía faneroscópica de sus actos mnemónicos y monumentales (2008-2019),2020,Etnomusicología
"García Castillo, Iris Ivet,","Sonido, emoción y sociedad :etnografía de los signos acústicos no verbales de la Semana Santa en una comunidad zapoteca de los Valles Centrales de Oaxaca (México)",2019,Etnomusicología
"Morales Hernández, Claudia Cecilia,",Error :configuración de subjetividades sonoras políticas,2019,Etnomusicología
"Morales Romero, Iván,","Aztecatzitzin mexicatlalli... somos aztecas mexicanitas :música y poesía en la danza de aztecas de Santa Ana Tlacotenco (Milpa Alta, CDMX)",2019,Etnomusicología
"Nieves Molina, Alfredo,","Cuerpo, sublimación y violencia :slam en la escena heavy metal de la CDMX y Área Metropolitana (1986 - 1992)",2019,Etnomusicología
"Quezada Torres, David,",La ola de asfalto :una mirada histórica-etnográfica a la escena de la música surf en la CDMX,2019,Etnomusicología
"Basurto Robledo, Rocío,",Rituales sonoros de la santería en la Ciudad de México :una mirada desde el performance,2018,Etnomusicología
"González Luis, Ricardo,","¿quiénes son los que bailan? música y carnaval en Teotitlán del Valle, Oaxaca",2018,Etnomusicología
"Burstin Mendoza, Lia,",Efectos de la melatonina sobre el sueño de pacientes con esquizofrenia,2022,Farmacia
"Cabello Velázquez, Orlando Raunel,",Caracterización de las propiedades de funcionalidad relacionadas para un nuevo excipiente coprocesado a base de celulosa microcristalina silicificada de reciente introducción en el mercado farmac'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-46221?func=full-set-set&set_number=378480&set_entry=000002&format=999>2</A>,2022,Farmacia
"Castañeda Soto, Francisco Rodolfo,","Evaluación de la capacidad antioxidante de nanopartículas de quitosán con glutatión en cultivos organotípicos de hígado de rata Wistar, expuestos en concentración citotóxica de etanol",2022,Farmacia
"Mendoza Cruz, Lesly Jocelyn,","Detección, análisis y seguimiento de reacciones adversas a medicamentos en sistema hepático de pacientes hospitalizados en servicios quirúrgicos de un hospital de alta especialidad",2022,Farmacia
"Pérez Gutiérrez, Diego Alonso,",Desarrollo y caracterización de microagujas poliméricas de poli metil vinil éter del ácido maleico cargadas con ceftriaxona como alternativa novedosa para el tratamiento de infecciones en herid'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-46230?func=full-set-set&set_number=378480&set_entry=000005&format=999>5</A>,2022,Farmacia
"Pulido Munguía, Miguel Ángel,",Evaluación del efecto de dos mezclas de ácidos grasos sobre la inflamación y el estrés del retículo endoplásmico en células hepáticas con esteatosis,2022,Farmacia
"Blanco Alcántara, Iris Anahí,",Desarrollo de una formulación parenteral de resveratrol,2021,Farmacia
"Fernández Hernández, María José,",Manual básico del lenguaje de programación Python :aplicaciones en las áreas químico-biológicas y farmacéuticas para no informáticos,2021,Farmacia
"Guerrero García, María Fernanda,","Material didáctico de apoyo, basado en una metodología constructivista, para apoyar a los alumnos de farmacia clínica II en su aprendizaje",2021,Farmacia
"Martínez Díaz, Oscar Fernando,",Evaluación del efecto de la vasoinhibina sobre la producción de óxido nítrico en sinoviocitos tipo fibroblasto en cultivo,2021,Farmacia
"Albarrán Castro, José Antonio,",Sartre :fundamentos de la libertad,2022,Filosofía
"Andrés Becerril, Marina,",El espejo filosófico de Andrey Tarkovski :tres perspectivas para una filosofía del cine,2022,Filosofía
"Baltazar Gaona, Gisela,",La noción de empatía en Edith Stein :hacia una estrategia pedagógica moderna y practicable,2022,Filosofía
"Castellón Piedras, Igor Eusebio,",Alienación :su concepción original en los cuadernos de París y su polémica complejidad,2022,Filosofía
"González Molina, Jamily Dolores,",El concepto de género como constructo social,2022,Filosofía
"Gutiérrez López Olivera, Isabel Estefanía,",La tolerancia religiosa y la libertad de conciencia en Sebastián Castellio (1515-1563),2022,Filosofía
"Jiménez Marcos, Rebeca,",Defender la raíz :los Yaquis y el anarquismo,2022,Filosofía
"López Rodríguez, Frida,","Ley, poder y guerra en John Locke",2022,Filosofía
"Martínez Licea, Gonzalo,",Lo bello y lo sublime en el Wallenstein de Schiller,2022,Filosofía
"Mendoza Paniagua, Arturo,",Una reconsideración del argumento ontológico de Descartes en las meditaciones metafísicas,2022,Filosofía
"Acevedo Vázquez, Alejandro,",Estudio teórico de la interacción de moléculas pequeñas de ARN con cúmulos subnanométricos de oro semipasivados,2022,Física
"Alderete Lezama, Manuel Alejandro,",Propiedades estadísticas de equilibrio térmico a partir de una red bidimensional con acoplamiento caótico,2022,Física
"Bertoni Álvarez, Aristóteles,",Análisis por ionoluminiscencia de defectos puntuales en películas delgadas de Zn0 creadas por medio de la oxidación térmica de Zn,2022,Física
"Cárcamo Verde, Francisco Javier,",Propiedades termodinámicas de un gas de bosones en un potencial armónico vía integrales de camino,2022,Física
"Chávez Martínez, Edwin Hazel,",Adsorción de iones metálicos de aluminio sobre agregados de moléculas tensoactivas en medios acuosos :un estudio de dinámica molecular,2022,Física
"Guerrero Estrada, Ana Gabriela,",Leyes de potencia en la actividad cerebral en observaciones de FMRI en probandos sanos,2022,Física
"Liprandi Cortés, Nayeli,",Estudio de la sustentabilidad para 100 de los centros urbanos más grandes del mundo así como sus futuros niveles de exposición al cambio climático,2022,Física
"Maldonado González, Cynthia,",Propagación libre de ondas gravitacionales en teorías F(R),2022,Física
"Méndez Aragón, Omar,",Mapeos armónicos en geometrotermodinámica,2022,Física
"Morales Guzmán, Viani Suhail,",Enfriamiento sub-doppler tipo melaza gris para dos isótopos de litio,2022,Física
"Osorio Durán, Gemma Aidde,",Análisis de funciones de transferencia de un sistema de microtomografía de rayos X con haz de cono,2022,Física Biomédica
"Gómez Rangel, Daniela,",Evaluación y optimización del conjunto DMAM2 para control de calidad en mamografía,2020,Física Biomédica
"López Ángeles, Diana,",Dosis de radiación al personal de anestesia en procedimientos de radiología intervencionista,2020,Física Biomédica
"Torres Arvizu, Francisco Ricardo,",Análisis del patrón de moteado de imágenes de ultrasonido clínico del tálamo de macacos Rhesus neonatos expuestos a anestesia,2020,Física Biomédica
"Bonilla Maya, Marta Fernanda,",Efectos de los ejercicios isométricos en casos clínicos de pacientes con metástasis ósea en columna,2022,Fisioterapia
"Canales Hernández, Roberto Carlos,",Intervención del fisioterpeuta en primeros auxilios deportivos,2022,Fisioterapia
"Carmona Barrón, Viviana Guadalupe,",Pautas para la prescripción de ejercicio físico en fisioterapia en pacientes con hipertensión arterial,2022,Fisioterapia
"Herrera Guerra, Evelyn Estefanía,","Propuesta de diseño, adaptación e implementación de la neurohabilitación en lactantes con síndrome de Down",2022,Fisioterapia
"Reyes Olvera, Gema,","""Morfología y densidad de astrocitos en CA1 del hipocampo en un modelo de ratón con enfermedad de Alzheimer esporádico""",2022,Fisioterapia
"Rodríguez Martínez, Héctor Emmanuel,",Asociación entre el nivel de actividad física y los síntomas de ansiedad y depresión en estudiantes de la Licenciatura en Fisioterapia de la Facultad de Medicina de la UNAM,2022,Fisioterapia
"Torres Aguilar, Belén Jacqueline,",Fisioterapia en cervicalgia crónica,2022,Fisioterapia
"Aguilar Arriaga, Alejandro,",Parámetros de difusión por resonancia magnética a edad equivalente a término en lactantes con anormalidades de la sustancia blanca,2021,Fisioterapia
"Andrade Guerrero, José de Jesús,",Evaluación de un programa de ejercicio en la capacidad física y calidad de vida en pacientes pediátricos con leucemia linfoblástica aguda,2021,Fisioterapia
"Díaz Beltrán, José Renato,",Manual de orientación de duelo para fisioterapeutas,2021,Fisioterapia
"Cruz Márquez, José Luis,","Caracterización de las velocidades de onda y su relación con parámetros petrofísicos de unidades de roca del Complejo Caldérico de Acoculco, Estado de Puebla, México",2022,Geociencias
"Andrade Argueta, Julio César,","Caracterización geológico-estratigráfica del Complejo Volcánico Peñuela, Estado de Puebla",2021,Geociencias
"Durán García, Mariano Alfonso,",Estudio milimétrico del contenido subestelar en la región de Tauro SSTB213 J041757,2021,Geociencias
"Fernández Peña, Juan Salvador,","Reconstrucción estratigráfica de la cima del complejo volcánico Tacaná, México-Guatemala, durante el Holoceno",2021,Geociencias
"Fuentes Rubio, Natalia Denise,","Aplicación de métodos geofísicos de exploración para estructuras geológicas :maar Hoya Blanca, Valle de Santiago, Guanajuato",2021,Geociencias
"García Gómez, Ihaly Eréndira,",Estudio de los efectos del campo magnético en la distribución de presiones térmica y magnética en el gas atómico neutro con propiedades similares a la vecindad solar,2021,Geociencias
"López Sánchez, Jafet Ismael,",Investigación de núcleos activos de galaxias en el UV y rayos X usando un modelo de disco de acreción,2021,Geociencias
"Pérez Rivera, Marco Antonio,",Modelos teóricos y observaciones de regiones de interacción entre corrientes de viento solar (SIRs),2021,Geociencias
"Bastida Ortiz, Lilia Lizbeth,","Zonación de los movimientos en masa en la Cuenca Huahua, Sierra-Costa de Michoacán",2020,Geociencias
"López García, Jairo Uriel,",Obtención de parámetros físicos del QSO PKS1614+051 mediante rotación y despolarización de Faraday,2020,Geociencias
"Arenas Pérez, Vanya,","Identificación de los factores del impacto socio-ambiental en el paisaje, por la minería a cielo abierto en México",2022,Geografía
"Bautista Mejía, Carlos Rafael,","Guadalajara, del rancho electrónico a la ciudad creativa digital :aproximaciones a su integración en la división internacional del trabajo de la industria del software",2022,Geografía
"Bosch Moreno, Lorena,",Tepeyac :geografía cultural de un espacio sagrado,2022,Geografía
"Briones Valdés, Jimena Adriana,","Cartografía temática para el área de valor ambiental (AVA) ""Barranca de Tarango""",2022,Geografía
"De la Rosa González, Michelle,","Niveles de asimilación económica en el Estado de Veracruz, México",2022,Geografía
"Esguerra Ocaña, Jessica Michel,","Vulnerabilidad por estrés térmico asociado a islas de calor en las zonas metropolitanas de Colima, México",2022,Geografía
"Guzmán Morales, Diana Estefanía,","Evaluación de la vulnerabilidad y riesgo de inundaciones en el Estado de Chiapas, México: periodo 1970 y 2016",2022,Geografía
"Hernández Hernández, Blanca Lizbeth,",Quito-quitu :lo indígena frente a la blanquitud de la ciudad,2022,Geografía
"Hernández Roa, Irvin David,",El Estadio Olímpico Universitario y sus aficionados :percepciones y topofilia,2022,Geografía
"Herver Santamaría, Arlette,",Cartografía geomorfológica del volcán Cofre de Perote,2022,Geografía
"Ávila Martínez, Deyani Alejandra,","Reconstrucción histórica y cambios de paisaje por migración internacional en el municipio de Morelos, Michoacán :'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-48175?func=full-set-set&set_number=378515&set_entry=000001&format=999>1</A>",2021,Geohistoria
"Castillo Escribano, Marcelo del,",Autocorrelación espacio-temporal de homicidios a nivel municipal en México para el periodo 2011-2019,2021,Geohistoria
"Fuentes Jiménez, José Arturo,",Senderismo como estrategia para la preservación de los caminos antiguos :estudio de caso en el municipio de Morelia,2021,Geohistoria
"Martínez Torres, Luis Donaldo,","Integración de metodologías para la gestión del paisaje :estudio de caso en el municipio de Morelia, Michoacán",2021,Geohistoria
"Estrella Hernández, Mariela,",Tancítaro en el siglo XVI :un análisis geoshistórico,2020,Geohistoria
"Núñez Castro, Erik,","Conformación de la hacienda de San José, Puruagua 1540-1746",2020,Geohistoria
"Maldonado Navarro, Denisse,","Henry Bruman, alcohol in ancient México :una revisitación desde la geohsitoria para los casos de Jalisco y Nayarit",2019,Geohistoria
"Alba Sánchez, Diana Montserrat,","La danza como fuente histórica :Nellie Campobello, creadora de un discurso histórico y corporal en México 1930-1940",2022,Historia
"Avendaño Martínez, Viviana,","Philanthropy :radicalismo, revolución y elitismo en el joven Percy B. Shelley",2022,Historia
"Barón Andrade, Ángela María del Mar,",Ipet-swt: la morada y el orden de la divinidad :análisis sobre la significación del Templo de Karnak como espacio sagrado durante el Reino Nuevo (c. 1551-1070 A.C.),2022,Historia
"Bautista Bautista, Luis Alfredo,",La Revolución Mexicana a través de dos series de televisión históricas,2022,Historia
"Behar Bustos, Andrea,",Villalpando y Rubens :una relación pictórica pintura y patronazgo en el mundo hispánico en el siglo XVII,2022,Historia
"Cuevas Papalotzin, Rogelio,","El inicio de la restricción de la vida nocturna en la Ciudad de México durante la primera regencia de Uruchurtu, 1950-1954 :a través de Excélsior y Magazine de Policía",2022,Historia
"Damián Domínguez, Cynthia Isabel,",La enseñanza de la historia de la cultura en UVM Lomas Verdes,2022,Historia
"García Fernández, Oswaldo,",La lucha ideológica entre el periódico Madera y la revista Punto crítico a través de huelga de Medalla de Oro de Monterrey del año de 1973 a 1975,2022,Historia
"Gómez Serrano, Iván Alejandro,",La exhibición de noticieros y documentales cinematográficos de la Primera Guerra Mundial en México (1914-1919) :la guerra como factor fundamental de la evolución del cine,2022,Historia
"Hernández Aguilar, Irving Eduardo,","Fortalecimiento, ruptura y hegemonía :las tres etapas históricas de la lucha de clases en el Manifiesto del Partido Comunista",2022,Historia
"Aguilera Norberto, Jennifer Melissa,",Pensar el imaginario :la patria de Camarena en los libros de texto gratuitos,2021,Historia del Arte
"Pérez González, Ana Victoria,",Las formas simbólicas en el limes :templos expiatorios neogóticos en el occidente de México,2021,Historia del Arte
"López López, Rosalba,","Viajes de ilusión alrededor del mundo :los espectáculos ópticos en la Ciudad de México, Siglo XIX",2020,Historia del Arte
"Rico Gutiérrez, Luz Elena,",De dios a demonio :análisis del grabado Der Abgott Viztliputzli,2020,Historia del Arte
"Vargas Vázquez, Diego Roberto,",El aparato fotográfico y la escritura de la historia,2020,Historia del Arte
"Cervantes Serrano, Virginia,",Iconografía en los cuencos tarascos del periodo posclásico en Michoacán,2019,Historia del Arte
"Jonard Méndez, Noyule Dominique,",Análisis de la propuesta coreográfica estados alterados (2015-2017) de la Compañía la Serpiente,2019,Historia del Arte
"Martínez Chavez, Aarón Eduardo,",De cara a la barbarie :regímenes de mirada en torno a la violencia del México contemporáneo,2019,Historia del Arte
"Noguez Medina, Leilani,",Representación indígena y narrativas identitarias :estudio sobre el audiovisual purépecha,2019,Historia del Arte
"Sánchez Barón, Yaret Verónica,",El México decimonónico a través de la mirada de Carl Nebel :imaginarios sobre alteridad-identidad,2019,Historia del Arte
"Álvarez Castillo, Arturo,",Plataforma de capacitación virtual para hospital seguro,2021,Informática
"Andrade Sobrevilla, Dorothy Anaisa,",Herramientas de mercadotecnia digital en Google (SEO y SEM web con WordPress),2021,Informática
"Badillo Barcenas, César,",Sitio web para el control escolar de una institución pública de educación básica de nivel primaria,2021,Informática
"Hernández Gutiérrez, Pedro Noé,","Sistema de información escolar ""SERVESCOL 2.0"" de la UNAM Canadá",2021,Informática
"Márquez Jiménez, Mariana Atzin,",Diseño e implementación del sitio Web de UNAM Francia,2021,Informática
"Ortiz Andraca, Luis Mario,",Elaboración y diseño de un disco interactivo en apoyo a la asignatura de metodología de la investigación,2021,Informática
"Soria Mendiola, Edmundo,",Sistema para la administración y control de bienes materiales para el Instituto Nacional Electoral,2021,Informática
"Torreblanca González, Ernesto,",Propuesta de mejora para el Sistema del Congreso de Matemáticas de la Facultad de Estudios Superiores de Cuautitlán,2021,Informática
"Villalobos Silvar, Ivan,",Sistema para la administración operativa (SAO),2021,Informática
"Bravo Molina, Miguel,",Elaboración de un manual en español y náhuatl para facilitar el conocimiento de las TIC enfocadas a la comunicación e investigación en el Tercer grado grupo A de la Telesecundaria Julián Carr'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-49090?func=full-set-set&set_number=378528&set_entry=000010&format=999>10</A>,2020,Informática
"Sandoval García, Judith Natalia,",Rendimiento de grano bajo dos densidades de población y tres dosis de fertilización en híbridos de maíz UNAM e INIFAP,2022,Ingeniería Agrícola
"Aguilar Velázquez, Karen Elizabeth,",Productividad de colectas de maíz palomero toluqueño (Zea mays everta) en Valles Altos de México,2021,Ingeniería Agrícola
"Arroyo León, Isaac Ramón,","Estudio de la probabilidad de ocurrencia de helada en Cuautitlán Izcalli, Estado de México",2021,Ingeniería Agrícola
"Cruz Mayen, Nancy Patricia,","Efectos comparativos de manejo sobre los niveles foliares de N, P y K en dos variedades de manzana, en Mineral de San Joaquín, Querétaro",2021,Ingeniería Agrícola
"Hidalgo Téllez, Karen Ivonne,",Estudio para la nivelación de la parcela siete del Centro de Enseñanza Agropecuaria de la FES-Cuautitlán,2021,Ingeniería Agrícola
"Neria Segovia, Marisol,",Evaluación y diseño del riego por gravedad de la parcela siete de la FESC,2021,Ingeniería Agrícola
"Reyes Pérez, Jesica Abigali,","Determinación de aflatoxinas en cereales de consumo infantil comercializados en Cuautitlán Izcalli, Edo. de Méx.",2021,Ingeniería Agrícola
"Soto Herrera, Inti Ehecatl,",Efectividad biológica de benzoato de emamectina para el control de insectos plaga en el cultivo de Brassicas,2021,Ingeniería Agrícola
"Canales Tovar, Liliana,","Evaluación de la sustentabilidad en agroecosistemas maíz y frijol en Olma Yahualica, Hidalgo",2020,Ingeniería Agrícola
"Fuentes Cadena, Olga Elizabeth,","Propagación in vitro de plantas del género Mentha spp., a partir de segmentos nodales",2020,Ingeniería Agrícola
"Amezcua Romero, Gabriela,","Caso práctico :análisis de costos y precios unitarios empleando opus 2010, referente a : rehabilitación de espacio deportivo Infonavit Iztacalco, ex-lago, en la alcaldía Iztacalco",2022,Ingeniería Civil
"Aragón Salas, Giezi,",Aplicación de la mecánica de materiales a problemas de ingeniería civil,2022,Ingeniería Civil
"Covarrubias Chávez, Cristian Israel,","Análisis y diseño de superestructura de acero para bodega por efectos de viento y sismo, ubicada en Tomendán, municipio de Taretan, Michoacán",2022,Ingeniería Civil
"Deaquino Desales, Aarón,",Análisis de daños a monumentos históricos ocasionados por el sismo de 19 de septiembre de 2017,2022,Ingeniería Civil
"Juárez Hoces, Valentín Ángel,",Estudio de la respuesta sísmica de edificios de planta baja débil rehabilitados con dispositivos de control en su primer nivel,2022,Ingeniería Civil
