autor,titulo,año,carrera
"López Guerrero, Mario Espartaco,","""Construcción del puente Barranca del Diablo, Km 510+930 carretera Tepic- San Blas, Nayarit""",2022,Ingeniería Civil
"Méndez Pérez, Ervin Elmar,",Colocación de concreto en las cimentaciones de las turbinas de gas de la central termoelectrica EVM II,2022,Ingeniería Civil
"Ortiz Haro Barrera, Pablo,","Ecobici y los sistemas de bicicletas públicas en las megaciudades, evolución y análisis comparativo",2022,Ingeniería Civil
"Pacheco Martín, Luis Gerardo,",Rehabilitación estructural de edificios históricos,2022,Ingeniería Civil
"Pateyro Martínez, Alberto Manuel,",Análisis y diseño de pavimento de concreto asfaltico :acceso al AICM,2022,Ingeniería Civil
"Morales Ramírez, Abraham,",Estudio termodinámico del proceso de lixiviación con tiourea de un concentrado de calcopirita,2022,Ingeniería de Minas y Metalurgia
"Pereira Camacho, Bernardo,","Ejecución, desarrollo y puesta en marcha de un sistema de ventilación en una mina de fluorita, en el municipio Villa de Zaragoza, San Luis Potosí",2022,Ingeniería de Minas y Metalurgia
"Cuevas Hernández, Joée Arturo,",Metodología Lean Six Sigma aplicada a un caso real de barrenación y voladura en la minería subterránea,2021,Ingeniería de Minas y Metalurgia
"Bustamante Méndez, Edjan Eduardo,",Coeficiente de permeabilidad en muestras inalteradas y reconstituidas de jal en un permeámetro de carga constante,2020,Ingeniería de Minas y Metalurgia
"Corchado González, Orlando,",Determinación de parámetros de las diferentes operaciones para lixiviar RAEE con ácido nítrico,2020,Ingeniería de Minas y Metalurgia
"Ortiz Ríos, Carlos Eduardo,",Molienda de bolas en húmedo y en seco con eje excéntrico externo,2020,Ingeniería de Minas y Metalurgia
"Vallejo Castillo, Iván Gustavo,","Propuesta metodológica para la instalación de un laboratorio dentro del Geoparque Mundial de la UNESCO Comarca Minera, Hidalgo",2020,Ingeniería de Minas y Metalurgia
"Chávez Cervantes, Jennyfer Ariadna,",Construcción de mesa concentradora para la concentración gravimétrica de oro microscópico de mineral proveniente del Estado de México,2019,Ingeniería de Minas y Metalurgia
"Fernández Reyes, Silvia Flor,","Evaluación del efecto de las presencia de bacterias acidófilas en la generación de drenaje ácido de mina en Taxco, Guerrero",2019,Ingeniería de Minas y Metalurgia
"Hernández Pérez, Ángel,",Alternativa de tratamiento para remediar un terrero lixiviado con bacterias sulfato reductoras,2019,Ingeniería de Minas y Metalurgia
"Alonso Torres, Brayan Eduardo,",Diseño y evaluación de experimentos de retroalimentación de fuerza utilizando un robot de seis grados de libertad,2021,Ingeniería Eléctrica Electrónica
"Baez Galindo, Juan Carlos,",Análisis de ferroresonancia en sistemas de distribución subterráneos,2021,Ingeniería Eléctrica Electrónica
"Barbosa Elizalde, Rafael Enrique,",Caracterización y puesta en marcha de una unidad de absorción de potencia de corrientes parásitas,2021,Ingeniería Eléctrica Electrónica
"Becerra Nuñez, Luis Andrés,",Desarrollo de prácticas de aplicación del relevador digital sel 351S e implementación de un módulo didáctico de interruptor de potencia,2021,Ingeniería Eléctrica Electrónica
"Cedillo Jiménez, Ángel Gustavo,",Análisis del valor de los certificados de energía limpia en México con criterio de equidad,2021,Ingeniería Eléctrica Electrónica
"Escobar Tufiño, Miguel Ángel,",Estimación de parámetros de motores de reluctancia,2021,Ingeniería Eléctrica Electrónica
"González Salgado, Uriel,",Rediseño y control de una plataforma experimental para procesos de transferencia de calor,2021,Ingeniería Eléctrica Electrónica
"Juárez Ramírez, Diego,",Amplificador de audio para guitarra con ecualización inalámbrica mediante aplicación móvil,2021,Ingeniería Eléctrica Electrónica
"Lara Tenorio, Christo Aldair,",Diseño de un sistema de comando y manejo de información,2021,Ingeniería Eléctrica Electrónica
"López Ayala, Jorge David,",Instrumentación y automatización del laboratorio de grafeno del Instituto de Física,2021,Ingeniería Eléctrica Electrónica
"Barreira Mendoza, Mario Enrique,",Propiedades reológicas y fisicoquímicas de un aderezo de aguacate y extracción de aceite en la semilla empleando ultrasonido,2022,Ingeniería en Alimentos
"Guzmán Benitez, Diana Laura,","""Situación actual de la producción de cerveza artesanal en México""",2022,Ingeniería en Alimentos
"Namorado Ruiz, Issa Michelle,","Propuesta de guía para disminuir la obesidad infantil basada en el análisis de acciones gubernamentales, perspectiva del ingeniero en alimentos",2022,Ingeniería en Alimentos
"Aguilar Mondragón, Gabriela,",Evaluar el efecto antimicrobiano del Zingiber officinales y origanum vulgare en recubrimientos comestibles a base de hidrocarburos en productos cárnicos,2021,Ingeniería en Alimentos
"Bueno Méndez, Fernanda Desire,",Envase comestible y soluble a base de xiloglucano para café liofilizado y sustituto de crema en polvo,2021,Ingeniería en Alimentos
"Capetillo Rubio, Araceli,",Elaboración de bebida carbonatada de fruto de garambullo (Myrtillocactus geometrizans) aplicando ozono y sonicación como métodos alternativos a la pasteurización,2021,Ingeniería en Alimentos
"Carballo Roustand, Marcelo Jesús,",Malteada proteica a base de alga spirulina y quínoa como suplemento alimenticio,2021,Ingeniería en Alimentos
"Carreón Cruz, Gustavo Rogelio,","Visual Basic para aplicaciones con Excel, una alternativa como lenguaje de programación para la materia de Recursos informáticos de la Carrera de Ingeniería en Alimentos plan 2004",2021,Ingeniería en Alimentos
"Carrión Sánchez, María Fernanda,",Aprovechamiento de cáscara y pulpa de mango (Mangifera indica L.) ataúlfo y semilla de cáñamo en una bebida tipo kéfir,2021,Ingeniería en Alimentos
"Castañeda Zagal, Héctor Daniel,",Propuesta de implementación de sistemas de autocontrol en una microempresa de productos lácteos en Cuautitlán Izcalli para prevenir ETA,2021,Ingeniería en Alimentos
"Gómez Macedo, Mauricio,",Detección de COVID-19 y neumonía en imágenes rayos X de pulmones utilizando redes neuronales convolucionales,2022,Ingeniería en Computación
"Ortiz Figueroa, María Fernanda,",Modelo computacional híbrido basado en tecnologías de realidad mixta para la planeación quirúrgica de procedimientos de mínima invasión,2022,Ingeniería en Computación
"Partida Bañales, Misael Valentín,",Sistema de exámenes diagnóstico de la División de Ciencias Básicas de la Facultad de Ingeniería de la UNAM,2022,Ingeniería en Computación
"Salinas Navarro, Diego Alberto,","Predicción de ""Likes"" en Twitter para memes aleatorios",2022,Ingeniería en Computación
"Ángeles Alcántara, Miguel Saúl,",Innovación tecnológica de la lecto-escritura en niños con discapacidad intelectual para el programa de atención psicopedagógica de la FES Aragón,2021,Ingeniería en Computación
"Cerecedo Aguilar, Carlos Manuel,",Envío de notificaciones SMS a clientes bancarios de remesas masivas,2021,Ingeniería en Computación
"Cruz Reyes, Eduardo de la,",Diseño e implementación de un sistema de seguridad de control para servicios de red inalámbrica y acceso a RADIUS con GNU/Linux y software libre: el caso de una IES,2021,Ingeniería en Computación
"Cruz Vega, Viviana Marcela,",Atlas anatómico 3d del tronco usando realidad aumentada para la enseñanza de la anatomía humana,2021,Ingeniería en Computación
"Escobedo López, Mario Arturo,",Modelo de negocio canvas aplicado a una consultoría,2021,Ingeniería en Computación
"García Fernández, Jesús Alejandro,",KGraphFI :grafo de conocimiento de propiedades para el análisis de la mortalidad por COVID-19 en la Ciudad de México,2021,Ingeniería en Computación
"Villeda Vargas, Sergio,","Prospección geoquímica y potencial del sistema geotérmico de baja a mediana temperatura de la zona de Escobedo, Coahuila",2022,Ingeniería en Energías Renovables
"Beauregard León, Alessandra,",Desarrollo de una memoria de cálculo eléctrico para sistemas fotovoltaicos,2021,Ingeniería en Energías Renovables
"Duque Brito, Estefanía,",Comparación de técnicas de caracterización de biomasas lignocelulósicas,2021,Ingeniería en Energías Renovables
"Fernández Duque, Diana,",Evaluación del método volumétrico para la estimación del potencial térmico de sistemas geotérmicos a través del análisis geoquimiométrico de las incertidumbres realistas de las temperatura'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-02229?func=full-set-set&set_number=378581&set_entry=000004&format=999>4</A>,2021,Ingeniería en Energías Renovables
"Florido Ortega, Jesús,",Estudio de viabilidad de un sistema de energía oceánica por gradiente térmico asistido con tecnología termosolar (SOTEC) en las costas del noroeste de México,2021,Ingeniería en Energías Renovables
"García Delgadillo, Sady Monserrat,","Efecto de la intensidad lumínica en un cultivo mixto para la producción de biomasa microalgal, clorofila A y carotenoides utilizando ciclos sinusoidales de temperatura",2021,Ingeniería en Energías Renovables
"Jiménez Juárez, Jesús Antonio,",Estudio a primeros principios de la difusión y adsorción de átomos de Li en la interfaz TiO2/grafeno y su aplicación en almacenamiento de energía,2021,Ingeniería en Energías Renovables
"López Magaña, Mariana,",High dynamic range photography for daylighting measurements with open technologies,2021,Ingeniería en Energías Renovables
"Peniche Fuentes, Diana Sofía,",Evaluaciones de impacto social de los proyectos de energías renovables en México,2021,Ingeniería en Energías Renovables
"Pérez Chávez, Ernesto,",Análisis de la dinámica de estados viento-demanda en el sistema eléctrico mexicano,2021,Ingeniería en Energías Renovables
"Flores Huelgas, Armando Camilo,",Implementación de transmisor satelital en radio definida por software para alerta de emergencias,2022,Ingeniería en Telecomunicaciones
"Flores Huelgas, Armando Camilo,",Implementación de transmisor satelital en radio definida por software para alerta de emergencias,2022,Ingeniería en Telecomunicaciones
"Sarmiento Sánchez, Salvador,",Diseño y construcción de un inversor multinivel para el análisis de distorsión armónica,2022,Ingeniería en Telecomunicaciones
"Byrd Victorica, Mauricio,",Estudio de sesgos o prejuicios en el aprendizaje computacional :enfoque en el diseño de modelos con clasificadores bayesianos,2021,Ingeniería en Telecomunicaciones
"Carrillo Ríos, Jesús Alberto,",Opciones tecnológicas para lograr la plena conectividad de los mexicanos en telecomunicaciones e Internet,2021,Ingeniería en Telecomunicaciones
"Cuadros Popoca, Luis Raúl,",Implementación de dos ataques de tipo phishing a un servidor DNS y propuesta de contramedida en redes definidas por software,2021,Ingeniería en Telecomunicaciones
"Fuentes Hernández, Miguel Ángel,",Arreglos reflectivos espirafase con anillos resonantes y diodos P-I-N,2021,Ingeniería en Telecomunicaciones
"González Flores, Jesús Salvador,",Diseño y simulación eléctrica de una neurona pulsante en tecnología CMOS de 0.6 micrones,2021,Ingeniería en Telecomunicaciones
"Herrera Villar, Emmanuel Salvador,","Análisis e instalación de distintos tipos de fibra óptica, para la ejecución adecuada de prácticas de mediciones en el laboratorio de sistemas de comunicaciones ópticas",2021,Ingeniería en Telecomunicaciones
"Martínez Velázquez, Daniel,",Análisis de llamadas al Kernel en un servidor XEN mediante un ataque DoS,2021,Ingeniería en Telecomunicaciones
"Sarmiento Sánchez, Salvador,",Diseño y construcción de un inversor multinivel para el análisis de distorsión armónica,2022,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Byrd Victorica, Mauricio,",Estudio de sesgos o prejuicios en el aprendizaje computacional :enfoque en el diseño de modelos con clasificadores bayesianos,2021,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"González Flores, Jesús Salvador,",Diseño y simulación eléctrica de una neurona pulsante en tecnología CMOS de 0.6 micrones,2021,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Castillo Coca, David,",Implementación de una red lan para el laboratorio de transmisión de datos,2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Gutiérrez Zacarías, Roberto Carlos,",Tratamiento de audio digital con interfaz AXI-Stream e implementación en FPGA,2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Hernández Gastaldi, Ernesto,","Diseño, evaluación y comparación de técnicas de solución para el problema en inteligencia artificial :Â«Airline Crew Scheduling ProblemÂ»",2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Jiménez Benítez, Ricardo,","Aplicación de técnicas de inteligencia artificial para la predicción eficiente del balance de flujo metabólico celular, y su posterior integración en el simulador GRO.",2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Maya Camacho, José Alejandro,",Desarrollo e implementación de un sistema para procesamiento de imágenes mediante el uso de un dispositivo FPGA,2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Vargas Rivas, Juan Carlos,",Desarrollo e implementación de un sistema de cableado estructurado en instituciones de educación básica en zona norte del Valle de México :caso: Telesecundaria Rafael Ramírez,2020,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Mañon Gómez, Montserrat de la Luz,",Sistema de recuperación de energía basado en el movimiento del flujo de agua en tuberías de agua potable,2019,"Ingeniería en Telecomunicaciones, Sistemas y Electrónica"
"Loera Bolaños, Francisco Javier,",Metodologías para la evaluación de registros geofísicos de pozo en formaciones sedimentarias mediante métodos convencionales e inversión petrofísica,2022,Ingeniería Geofísica
"Loera Bolaños, Francisco Javier,",Metodología para la evaluación de registros geofísicos de pozo en formaciones sedimentarias mediante métodos convencionales e inversión petrofísica,2022,Ingeniería Geofísica
"Ramos Osorio, Carolina,",Detección de estructuras arqueológicas con los métodos de gradiente magnético y georradar en el sitio arqueológico de Teotihuacán,2022,Ingeniería Geofísica
"Álvarez Monroy, Iván,","Escenarios sísmicos de la ciudad de Puebla, Puebla, México elaborados a partir de las técnicas MHVSR y EHVSR",2021,Ingeniería Geofísica
"Aquino Sandoval, Gilberto Crispín,",Análisis de la propagación de ondas en el valle de México durante sismos fuertes,2021,Ingeniería Geofísica
"Armas Santillán, Marco Antonio,","Modelado unidimensional de datos magnetotelúricos :caso de estudio Acoculco, Pue.",2021,Ingeniería Geofísica
"Buendía Millán, Mauricio,",Determinación de la fragilidad y ductilidad de las rocas a partir de registros geofísicos de pozo,2021,Ingeniería Geofísica
"Castañeda Flores, Ángel Adrián,",Metodología alternativa para calcular la saturación de hidrocarburos en pozos revestidos utilizando sigma y C/O,2021,Ingeniería Geofísica
"Chang Sterling, David Antonio,",Modelado sintético de correlaciones cruzadas de ruido sísmico,2021,Ingeniería Geofísica
"Conde Arellano, Samantha Eunice,",Identificación de zonas de interés hidrotermal en el volcán El Chichón en el Estado de Chiapas,2021,Ingeniería Geofísica
"Caracheo González, José Jorge,",Estudio geodinámico comparativo de los domos de sal en dos ambientes de deposición distintos México y Rumanía,2022,Ingeniería Geológica
"Velasco Anaya, Eric,","Evaluación de las condiciones geológicas del yacimiento de fosforitas de El raíces, Nuevo León como posible fuente de producción y explotación de fósforo",2022,Ingeniería Geológica
"Altamirano Cabello, Alex,","Caracterización litoestratigráfica de la Caliza Chimeco y la formación Mapache en el Cerro Boludo, municipio de Chila de las Flores, Puebla",2021,Ingeniería Geológica
"Álvarez Anguiano, Miriam,",Modelo geológico-estructural y caracterizacíon del macizo rocoso de la zona de la veta 6500,2021,Ingeniería Geológica
"Báez Reyes, Héctor Eduardo,",AquiParameter :base de datos abierta de parámetros hidrogeológicos :'; recordLink = '<A HREF=https://tesiunam.dgb.unam.mx:443/F/6Q7Q1UJ586IUF7VVMXSRV4FM6E5RERX8DU53JXX3UBFGXILB5K-03504?func=full-set-set&set_number=378617&set_entry=000005&format=999>5</A>,2021,Ingeniería Geológica
"Bautista Ramírez, Lorena Monserrat,","Estructuras volcánicas, características petrológicas y estratigrafía del campo volcánico de Tepexpan, Estado de México",2021,Ingeniería Geológica
"Castro Zárate, Martha Edith,",Análisis hidrogeoquímico del agua subterránea en el valle de Cuautitlán-Tizayuca,2021,Ingeniería Geológica
"Chávez Téllez, Karen,","Estudio geológico y mineralógico del yacimiento manganesífero de la Unidad Molango en el distrito minero de Molango, Hidalgo, México",2021,Ingeniería Geológica
"Cruz Gutiérrez, Gustavo Daniel,","Caracterización, dinámica, simulación y afectaciones por efecto de caída de bloques en la zona arqueológica de chalcatzingo, Morelos",2021,Ingeniería Geológica
"García Bautista, Eduardo,",Caracterización geológica para la localización de sitios de disposición final de residuos sólidos de la construcción en la Ciudad de México,2021,Ingeniería Geológica
"Hernández Luna, Daniel,",Prototipo de un vehículo aéreo no tripulado para fines fotogramétricos,2021,Ingeniería Geomática
"Vargas Garduño, Andrea Isadora,",Análisis multi-criterio para ubicar una reserva natural de ajolotes,2020,Ingeniería Geomática
"Alcaraz Miranda, Martha,",Análisis de la variabilidad espacio - temporal de la temperatura superficial del mar en El Caribe mexicano (1997 - 2013),2019,Ingeniería Geomática
"García Monroy, José Eduardo,",Estimación de zonas con peligro de avenidas súbitas mediante el uso del índice de inundación súbita utilizando sistemas de información geográfica,2019,Ingeniería Geomática
"Hernández Castro, José Roberto,",Protocolo para el levantamiento fotogramétrico de edificios a partir del uso de vehículos aéreos no tripulados,2019,Ingeniería Geomática
"López González, Jesús Ángel,",Técnicas geomáticas aplicadas a la gestión vitícola,2019,Ingeniería Geomática
"Macouzet Iturbe, Daniel,",Seguridad informática aplicada a la ingeniería geomática,2019,Ingeniería Geomática
"Mendoza Castillo, Uriel de Jesús,",Procesamiento automatizado de productos meteorológicos derivados de satélites geoestacionarios y de órbita polar,2019,Ingeniería Geomática
"Miranda González, Joel Balam,",La geomática como apoyo para prevención de enfermedades crónicas,2019,Ingeniería Geomática
"Vargas Serna, María Fernanda,",Análisis de problemáticas ambientales en cuencas lacustres con tecnologías de la información geográfica,2019,Ingeniería Geomática
"Vega Lago, Mitzi Montserrat,",Cadena de suminisro digital :la alternativa del futuro,2022,Ingeniería Industrial
"Aguilar Montoya, Adriana Guadalupe,",Localización de sitios temporales de separación y diseño de rutas de recolección de residuos por sismo en la Ciudad de México,2021,Ingeniería Industrial
"Almazan Mendoza, Alma Denisse,",Manual de implementación de las 5 S&rsquo; para la mejor continua,2021,Ingeniería Industrial
"Bautista Torres, Oscar Gustavo,","Diseño, ensamble y costo de venta para canceleria de PVC en climas tropicales y entornos costeros",2021,Ingeniería Industrial
"Castañón Mora, Gustavo,",Diagnóstico e intervención en una empresa de seguridad,2021,Ingeniería Industrial
"Collins Espina, Frank Omar,","Propuesta de proceso industrial-artesanal de chocolate natural en Coatzacoalcos, Ver.",2021,Ingeniería Industrial
"Díaz Rodríguez, Yesenia Guadalupe,",Estrategia para la implementación de la reingeniería de procesos :el caso de una empresa manufacturera de empaques de cartón,2021,Ingeniería Industrial
"Escalera Guevara, Irene,",Propuesta de implementación del modelo CMMI DEV para proyectos de desarrollo de software,2021,Ingeniería Industrial
"González Quiroga, Heber Guillermo,",Análisis de la afluencia de un corredor de servicio de transporte concesionado en la Ciudad de México,2021,Ingeniería Industrial
"Hernández Arias, Rosa Guadalupe,","Propuesta de reciclaje para los residuos de madera, mediante la elaboración de tableros aglomerados en la empresa ""La Ceiba, en Agua Dulce, Veracruz",2021,Ingeniería Industrial
"Alvarado Polonio, Héctor,",Diseño de dispositivo de limpieza para el asiento de un inodoro público,2022,Ingeniería Mecánica
"Espinosa de los Monteros Parra, Víctor Adrián,",Interfaz inteligente para el control de un sistema domótico gestionado por PROLOG,2022,Ingeniería Mecánica
"Jiménez Germán, Juan Antonio,",Banco de pruebas para neumáticos todo terreno,2022,Ingeniería Mecánica
"Matadamas Macedonio, Juan Luis,",Caracterización experimental de perfiles aerodinámicos tipo NACA,2022,Ingeniería Mecánica
"Núñez Bohórquez, Álvaro Rafael,","Aplicación de la electricidad, electrónica y telecomunicaciones a la navegación aérea",2022,Ingeniería Mecánica
"Ramírez Céspedes, Fernando,",Dispositivo mecánico para acelerar la corrosión-erosión por cavitación hidrodinámica en muestras metálicas,2022,Ingeniería Mecánica
"Villaseñor Paris, Andrés Iván,",Estudio teórico de la imbibición en un medio poroso bajo gradientes de temperatura en un fluido no newtoniano,2022,Ingeniería Mecánica
"Waage Delgadillo, Helgi Saúl,",Diseño de una guitarra eléctrica sostenible,2022,Ingeniería Mecánica
"Aja Olmos, Luis Fabián,",Sistema de adquisición de datos para un robot móvil,2021,Ingeniería Mecánica
"Alonso Bastos, Daniel Alejandro,",Simulación numérica de un propulsor de efecto hall para un microsatélite,2021,Ingeniería Mecánica
"Espinosa de los Monteros Parra, Víctor Adrián,",Interfaz inteligente para el control de un sistema domótico gestionado por PROLOG,2022,Ingeniería Mecánica Eléctrica
"Núñez Bohórquez, Álvaro Rafael,","Aplicación de la electricidad, electrónica y telecomunicaciones a la navegación aérea",2022,Ingeniería Mecánica Eléctrica
"Antolin Jiménez, Juan Isaac,",Diseño y fabricación de un dispositivo para calentamiento mediante inducción eléctrica y su posterior temple de barras circulares de hasta 10mm de diámetro,2021,Ingeniería Mecánica Eléctrica
"García Pérez, Rodolfo Alejandro,",Resolución de problemas de la mecánica de sólidos elemental mediante el método de elemento finito utilizando el programa AutoFEM,2021,Ingeniería Mecánica Eléctrica
"López Cerdán, Daniel,",Diseño e implementación de un torno CNC para uso didáctico en la enseñanza técnica del CECyTEM Plantel Nicolás Romero II,2021,Ingeniería Mecánica Eléctrica
"Martínez Velasco, Irving Ricardo,","Diseño, construcción y operación de un sistema de accionamiento de cuatro barras",2021,Ingeniería Mecánica Eléctrica
"Pérez Espíndola, José Francisco,","Cámara de ciclo constante aplicada en un cuarto de incubación in vitro, en la etapa de germinación y desarrollo de las plantas",2021,Ingeniería Mecánica Eléctrica
"Quintana Ariza, Jorge Mateo,","Análisis de carga térmica en envolvente de vivienda en Jiutepec, Morelos",2021,Ingeniería Mecánica Eléctrica
"De Prada Lugo, Carlos Alberto,",Diseño y manufactura por adiciÃ²n de material de una bomba peristáltica,2020,Ingeniería Mecánica Eléctrica
"Hernández Vega, Jorge de Jesús,",Implementación de mesa multitoque autónoma basada en computadoras de placa reducida,2020,Ingeniería Mecánica Eléctrica
"Aguilera Zárate, Cristian Saúl,",Sistema de identificación de los puntos de referencia permanentes en lentes oftálmicas,2022,Ingeniería Mecatrónica
"Miranda Martínez, Ricardo Alberto,",Diseño del control de crucero adaptativo de un vehículo terrestre autónomo mediante un ambiente simulado,2022,Ingeniería Mecatrónica
"Nava Arsola, Diego Alberto,",Desarrollo de un sistema de visión para un robot industrial KUKA KR 5-2 (reconocimiento y simulación),2022,Ingeniería Mecatrónica
"Rodríguez Miranda, Karina Marlenne,",Desarrollo de un PDC con software libre y su implementación en la Red de Media Tensión de CU UNAM,2022,Ingeniería Mecatrónica
"Zorrilla Gasca, David Alfonso,",Diseño del banco de baterías para el vehículo eléctrico FSAE UM-E3,2022,Ingeniería Mecatrónica
"Castillo Varguez, Ernesto Jesús,",Redes neuronales profundas para la detección de peces en ambientes subacuáticos,2021,Ingeniería Mecatrónica
"García Aguilera, Luis Ulises,",Control para estabilidad estática de un robot bípedo de 10 GDL,2021,Ingeniería Mecatrónica
"González López, Aldo Emmanuel,",Monitoreo de la radiación ultravioleta para controlar el flujo de agua en un reactor fotocatalítico,2021,Ingeniería Mecatrónica
"González Nava, Luis Eduardo,",Sistema de visión para estimar posición y velocidad de objetos para un robot bípedo,2021,Ingeniería Mecatrónica
"Hernández Urrutia, Cuitláhuac Azael,",Desarrollo de un prototipo CubeSat 1U mediante metodología de competencias internacionales tipo CanSat,2021,Ingeniería Mecatrónica
"Alvarado Melchor, Anahí Cecilia,",Efecto de la porosidad secundaria en el comportamiento productivo de yacimientos naturalmente fracturados,2022,Ingeniería Petrolera
